id,label,type,group,note,start_time,end_time
ref_fondo_nacional_de_las_artes_argentina,Fondo Nacional de las Artes (Argentina),reference,Contexto socio-histórico,Subcategoría: Instituciones/Editoriales | Posibles conexiones: Apoyo estatal a la cultura.,,
ref_fundacion_guggenheim_1973,Fundación Guggenheim (1973),reference,Contexto socio-histórico,Subcategoría: Reconocimientos | Posibles conexiones: Trayectoria; investigación/creación.,,
ref_hollywood_ee_uu,Hollywood / EE. UU.,reference,Contexto socio-histórico,Subcategoría: Geográficas | Posibles conexiones: Cine industrial; política cultural (Dept. Estado).,,
ref_isla_de_pascua_rapa_nui,Isla de Pascua (Rapa Nui),reference,Contexto socio-histórico,Subcategoría: Geográficas | Posibles conexiones: Imaginario polinesio; arqueología popular.,,
ref_mencion_especial_primera_plana_sudamericana_1967,Mención especial Primera Plana / Sudamericana (1967),reference,Contexto socio-histórico,Subcategoría: Reconocimientos | Posibles conexiones: Red continental de validación.,,
ref_mendoza_argentina,Mendoza (Argentina),reference,Contexto socio-histórico,Subcategoría: Geográficas | Posibles conexiones: Territorio literario; vitivinicultura.,,
ref_pen_club_dinamarca_y_suecia,PEN Club (Dinamarca y Suecia),reference,Contexto socio-histórico,Subcategoría: Eventos y congresos | Posibles conexiones: Redes internacionales de escritores.,,
ref_paris_francia,París (Francia),reference,Contexto socio-histórico,Subcategoría: Geográficas | Posibles conexiones: Conexión con Nouveau Roman; circuitos europeos.,,
ref_premio_municipal_mendoza_y_faja_de_honor_sade_mundo_animal,Premio Municipal (Mendoza) y faja de honor SADE (Mundo Animal),reference,Contexto socio-histórico,Subcategoría: Reconocimientos | Posibles conexiones: Institucionalización del autor.,,
ref_revista_agentes_de_buenos_aires_cuento_del_ano,Revista 'Agentes de Buenos Aires' (cuento del año),reference,Contexto socio-histórico,Subcategoría: Instituciones/Editoriales | Posibles conexiones: Crítica y prensa cultural.,,
ref_revista_leo_plan,Revista 'Leo Plan',reference,Contexto socio-histórico,Subcategoría: Instituciones/Editoriales | Posibles conexiones: Mediación editorial; acceso lector.,,
ref_revista_siete_dias_concurso_policial,Revista 'Siete Días' (concurso policial),reference,Contexto socio-histórico,Subcategoría: Instituciones/Editoriales | Posibles conexiones: Medios masivos; literatura de género.,,
ref_revolucion_argentina_de_1955_cambio_en_borges,Revolución argentina de 1955 (cambio en Borges),reference,Contexto socio-histórico,Subcategoría: Políticas | Posibles conexiones: Política-cultural; instituciones.,,
ref_san_sebastian_espana,San Sebastián (España),reference,Contexto socio-histórico,Subcategoría: Geográficas | Posibles conexiones: Puente hispánico del cine.,,
ref_semanal_la_semana_mendoza,Semanal 'La Semana' (Mendoza),reference,Contexto socio-histórico,Subcategoría: Instituciones/Editoriales | Posibles conexiones: Prensa local; circulación popular.,,
ref_sicilia_italia_troina_etna_vesubio_cenizas,Sicilia (Italia): Troina; Etna/Vesubio (cenizas),reference,Contexto socio-histórico,Subcategoría: Geográficas | Posibles conexiones: Mitología (Troya); herencia mediterránea.,,
ref_sociedad_argentina_de_escritores_sade,Sociedad Argentina de Escritores (SADE),reference,Contexto socio-histórico,Subcategoría: Instituciones/Editoriales | Posibles conexiones: Organización gremial de escritores.,,
ref_cante_hondo,Cante hondo,reference,Culturales y artísticas,Subcategoría: Musicales | Posibles conexiones: Puente hispánico; raíz popular.,,
ref_cuentos_claros,Cuentos claros,reference,Culturales y artísticas,Subcategoría: Literarias (propias) | Posibles conexiones: Cuentística; poética de claridad.,,
ref_declinacion_y_angel,Declinación y ángel,reference,Culturales y artísticas,Subcategoría: Literarias (propias) | Posibles conexiones: Audiovisuales; objetivismo; técnica mixta.,,
ref_edgar_allan_poe,Edgar Allan Poe,reference,Culturales y artísticas,Subcategoría: Literarias (ajenas) | Posibles conexiones: Fantástico; cuento moderno.,,
ref_el_pentagono_1955_annabella_reelaboracion,El Pentágono (1955) / Annabella (reelaboración),reference,Culturales y artísticas,Subcategoría: Literarias (propias) | Posibles conexiones: Estructuras experimentales; serie unitaria.,,
ref_el_carino_de_los_tontos_1961,El cariño de los tontos (1961),reference,Culturales y artísticas,Subcategoría: Literarias (propias) | Posibles conexiones: Cuentística; reconocimiento institucional.,,
ref_el_conventillo_con_miguel_e_oliva,El conventillo (con Miguel E. Oliva),reference,Culturales y artísticas,Subcategoría: Literarias (propias) | Posibles conexiones: Aprendizajes; renuncia autoral.,,
ref_el_juicio_de_dios,El juicio de Dios,reference,Culturales y artísticas,Subcategoría: Literarias (propias) | Posibles conexiones: Recepción crítica; iconografía (oreja → escucha/silencio).,,
ref_el_silenciero,El silenciero,reference,Culturales y artísticas,Subcategoría: Literarias (propias) | Posibles conexiones: Poética del silencio; sensibilidad sonora.,,
ref_festival_de_berlin_berlinale,Festival de Berlín (Berlinale),reference,Culturales y artísticas,Subcategoría: Audiovisuales y cinematográficas | Posibles conexiones: Diálogo estético; objetivismo.,,
ref_festival_de_cannes,Festival de Cannes,reference,Culturales y artísticas,Subcategoría: Audiovisuales y cinematográficas | Posibles conexiones: Periodismo cultural; redes internacionales.,,
ref_festival_de_san_sebastian,Festival de San Sebastián,reference,Culturales y artísticas,Subcategoría: Audiovisuales y cinematográficas | Posibles conexiones: Ecos ibéricos del cine europeo.,,
ref_fiodor_dostoievski,Fiódor Dostoievski,reference,Culturales y artísticas,Subcategoría: Literarias (ajenas) | Posibles conexiones: Biografismo irónico; escritura corporal.,,
ref_greta_garbo,Greta Garbo,reference,Culturales y artísticas,Subcategoría: Audiovisuales y cinematográficas | Posibles conexiones: Cine clásico; imaginario glamuroso.,,
ref_grot_1957,Grot (1957),reference,Culturales y artísticas,Subcategoría: Literarias (propias) | Posibles conexiones: Cuentística; consolidación.,,
ref_hollywood_viajes_de_trabajo,Hollywood (viajes de trabajo),reference,Culturales y artísticas,Subcategoría: Audiovisuales y cinematográficas | Posibles conexiones: Industria cinematográfica; contraste con cine europeo.,,
ref_honore_de_balzac,Honoré de Balzac,reference,Culturales y artísticas,Subcategoría: Literarias (ajenas) | Posibles conexiones: Poética experimental (variación libro a libro).,,
ref_johann_sebastian_bach,Johann Sebastian Bach,reference,Culturales y artísticas,Subcategoría: Musicales | Posibles conexiones: Preferencias estéticas; silencio/nocturnidad.,,
ref_jorge_amado,Jorge Amado,reference,Culturales y artísticas,Subcategoría: Literarias (ajenas) | Posibles conexiones: Comparativa; tradiciones nacionales.,,
ref_jorge_luis_borges,Jorge Luis Borges,reference,Culturales y artísticas,Subcategoría: Literarias (ajenas) | Posibles conexiones: Redes culturales; legitimación porteña.,,
ref_julio_cortazar,Julio Cortázar,reference,Culturales y artísticas,Subcategoría: Literarias (ajenas) | Posibles conexiones: Canon latinoamericano; recepción internacional.,,
ref_leopoldo_lugones,Leopoldo Lugones,reference,Culturales y artísticas,"Subcategoría: Literarias (ajenas) | Posibles conexiones: Institucionalización literaria (SADE, premios).",,
ref_literatura_fantastica_argentina,Literatura fantástica (Argentina),reference,Culturales y artísticas,Subcategoría: Literarias (teoría) | Posibles conexiones: Poética; crítica del sistema literario.,,
ref_los_suicidas_1969,Los suicidas (1969),reference,Culturales y artísticas,Subcategoría: Literarias (propias) | Posibles conexiones: Temas familiares; memoria; violencia pasional.,,
ref_ludwig_van_beethoven,Ludwig van Beethoven,reference,Culturales y artísticas,Subcategoría: Musicales | Posibles conexiones: Preferencias; intensidad emocional.,,
ref_marlene_dietrich,Marlene Dietrich,reference,Culturales y artísticas,Subcategoría: Audiovisuales y cinematográficas | Posibles conexiones: Cine clásico; star system.,,
ref_miguel_de_cervantes_don_quijote,Miguel de Cervantes / Don Quijote,reference,Culturales y artísticas,Subcategoría: Literarias (ajenas) | Posibles conexiones: Canon español; distancia irónica del niño lector.,,
ref_miguel_angel_asturias,Miguel Ángel Asturias,reference,Culturales y artísticas,Subcategoría: Literarias (ajenas) | Posibles conexiones: Comparativa continental; estilos.,,
ref_mundo_animal_1953,Mundo Animal (1953),reference,Culturales y artísticas,Subcategoría: Literarias (propias) | Posibles conexiones: Cuento argentino; premios municipales/SADE.,,
ref_objetivismo_nouveau_roman,Objetivismo / Nouveau Roman,reference,Culturales y artísticas,Subcategoría: Literarias (teoría) | Posibles conexiones: Cine y técnica; convergencias sin centro fundador.,,
ref_victor_hugo,Víctor Hugo,reference,Culturales y artísticas,Subcategoría: Literarias (ajenas) | Posibles conexiones: Realismo vs fantástico; herencia paterna.,,
ref_zama_1956,Zama (1956),reference,Culturales y artísticas,"Subcategoría: Literarias (propias) | Posibles conexiones: Canon argentino; reconocimientos (Cortázar, ediciones múltiples).",,
ref_culpa_de_haber_nacido_cadena_del_infortunio,Culpa de haber nacido / cadena del infortunio,reference,Pensamiento y conocimiento,Subcategoría: Filosóficas y religiosas | Posibles conexiones: Existencialismo; ética de la descendencia.,,
ref_dia_de_los_muertos_signo_vital,Día de los Muertos (signo vital),reference,Pensamiento y conocimiento,Subcategoría: Filosóficas y religiosas | Posibles conexiones: Religión popular; autoanálisis.,,
ref_preferencia_noche_y_silencio_beber_si_se,Preferencia: noche y silencio; 'beber sí sé',reference,Pensamiento y conocimiento,Subcategoría: Poética personal | Posibles conexiones: Estética del silencio; autoimagen lúdica.,,
ref_psicoanalisis_alusion,Psicoanálisis (alusión),reference,Pensamiento y conocimiento,Subcategoría: Científicas y académicas | Posibles conexiones: Autoconciencia; revisión del yo.,,
ref_tecnica_cinematografica_aplicada_al_cuento,Técnica cinematográfica aplicada al cuento,reference,Pensamiento y conocimiento,Subcategoría: Científicas y académicas | Posibles conexiones: Intermedialidad; guionización literaria.,,
ref_tecnica_narrativa_oral_madre,Técnica narrativa oral (madre),reference,Pensamiento y conocimiento,Subcategoría: Científicas y académicas | Posibles conexiones: Teoría narrativa; performatividad oral.,,
ref_abuelo_vitivinicultor_trae_amante_de_italia_abuela_40_anos_sin_hablarle,Abuelo vitivinicultor trae amante de Italia; abuela 40 años sin hablarle,reference,Personales y biográficas,Subcategoría: Familia (historias) | Posibles conexiones: Vitivinicultura; migraciones; género y poder doméstico.,,
ref_alain_robbe_grillet,Alain Robbe-Grillet,reference,Personales y biográficas,Subcategoría: Personales (redes) | Posibles conexiones: Teoría literaria; Francia; cine (guiones).,,
ref_augusto_roa_bastos_jurado_1967,Augusto Roa Bastos (jurado 1967),reference,Personales y biográficas,Subcategoría: Personales (redes) | Posibles conexiones: Literaturas del Plata/Paraguay.,,
ref_boy_scout_autoridad_por_solidaridad_del_grupo,Boy scout; autoridad por solidaridad del grupo,reference,Personales y biográficas,Subcategoría: Biográficas | Posibles conexiones: Culturales (ética comunitaria); humor.,,
ref_descendencia_italia_sicilia_troina_y_brasil_madre,"Descendencia: Italia (Sicilia, Troina) y Brasil (madre)",reference,Personales y biográficas,Subcategoría: Biográficas | Posibles conexiones: Migraciones; Geográficas (Italia/Brasil/Argentina).,,
ref_descubrimiento_de_la_imprenta_rotativas_de_critica,Descubrimiento de la imprenta (rotativas de 'Crítica'),reference,Personales y biográficas,Subcategoría: Trayectoria | Posibles conexiones: Periodismo; técnicas de impresión; modernidad urbana.,,
ref_director_del_teatro_independencia_mendoza,Director del Teatro Independencia (Mendoza),reference,Personales y biográficas,Subcategoría: Trayectoria | Posibles conexiones: Artes escénicas; políticas culturales locales.,,
ref_docencia_redaccion_periodistica_escuela_superior_de_periodismo,Docencia: redacción periodística (Escuela Superior de Periodismo),reference,Personales y biográficas,Subcategoría: Trayectoria | Posibles conexiones: Académicas; formación de periodistas.,,
ref_estudios_de_derecho_universidad_fuera_de_mendoza,Estudios de Derecho (universidad fuera de Mendoza),reference,Personales y biográficas,Subcategoría: Trayectoria | Posibles conexiones: Académicas; movilidad.,,
ref_futbol_jugador_malo,Fútbol (jugador 'malo'),reference,Personales y biográficas,Subcategoría: Biográficas | Posibles conexiones: Audiovisuales/deportes (sociabilidad).,,
ref_gabriel_garcia_marquez_jurado_1967,Gabriel García Márquez (jurado 1967),reference,Personales y biográficas,Subcategoría: Personales (redes) | Posibles conexiones: Canon latinoamericano; redes continentales.,,
ref_infancia_con_abuelos_pobreza_y_cambio_de_estatus,Infancia con abuelos; pobreza y cambio de estatus,reference,Personales y biográficas,Subcategoría: Biográficas | Posibles conexiones: Familia extensa; relatos de abuela/abuelo.,,
ref_ingreso_profesional_al_diario_17_anos,Ingreso profesional al diario (17 años),reference,Personales y biográficas,Subcategoría: Trayectoria | Posibles conexiones: Periodismo; economía familiar.,,
ref_leopoldo_marechal_jurado_1967,Leopoldo Marechal (jurado 1967),reference,Personales y biográficas,Subcategoría: Personales (redes) | Posibles conexiones: Letra argentina; legitimación.,,
ref_madre_narradora_oral_alegria_familiar,Madre: narradora oral; alegría familiar,reference,Personales y biográficas,Subcategoría: Biográficas | Posibles conexiones: Literarias (poética oral); estilo narrativo.,,
ref_miguel_e_oliva,Miguel E. Oliva,reference,Personales y biográficas,Subcategoría: Personales (redes) | Posibles conexiones: Colaboraciones locales.,,
ref_muerte_del_padre_13_02_1933_bermejo,"Muerte del padre (13/02/1933, Bermejo)",reference,Personales y biográficas,"Subcategoría: Biográficas | Posibles conexiones: Temas: culpa, predestinación; 'cadena del infortunio'.",,
ref_nacimiento_en_mendoza_dia_de_los_muertos_1922,"Nacimiento en Mendoza (Día de los Muertos, 1922)",reference,Personales y biográficas,Subcategoría: Biográficas | Posibles conexiones: Religiosas (Día de los Muertos); tono existencial.,,
ref_organizacion_fiesta_de_la_vendimia_1958,Organización Fiesta de la Vendimia (1958),reference,Personales y biográficas,Subcategoría: Trayectoria | Posibles conexiones: Vitivinicultura; eventos cívicos/escénicos.,,
ref_padre_militar_retirado_y_enologo,Padre: militar retirado y enólogo,reference,Personales y biográficas,Subcategoría: Biográficas | Posibles conexiones: Vitivinicultura; disciplina; tradición familiar.,,
ref_plaza_al_buen_vecino_homenaje_al_padre,Plaza 'Al buen vecino' (homenaje al padre),reference,Personales y biográficas,Subcategoría: Biográficas | Posibles conexiones: Cívicas; memoria local.,,
ref_primeras_colaboraciones_la_semana_cine,Primeras colaboraciones: 'La Semana' (cine),reference,Personales y biográficas,Subcategoría: Trayectoria | Posibles conexiones: Audiovisuales; humor autoirónico.,,
ref_resistencia_personal_a_buenos_aires_de_nino,Resistencia personal a Buenos Aires (de niño),reference,Personales y biográficas,Subcategoría: Biográficas | Posibles conexiones: Geográficas (porteños/interior); identidad provincial.,,
ref_revista_leo_plan_lecturas_de_infancia,Revista 'Leo Plan' (lecturas de infancia),reference,Personales y biográficas,Subcategoría: Trayectoria | Posibles conexiones: Literarias (cuento/fantástico); formación lectora.,,
ref_subdirector_del_diario_los_andes_mendoza,Subdirector del diario 'Los Andes' (Mendoza),reference,Personales y biográficas,Subcategoría: Trayectoria | Posibles conexiones: Instituciones culturales locales.,,
ref_suicidios_familiares_abuelo_nieto_primo,Suicidios familiares (abuelo/nieto; primo),reference,Personales y biográficas,Subcategoría: Familia (historias) | Posibles conexiones: Literarias (Los suicidas); tema del 'ruido metafísico'.,,
