id,label,type,group,note
ref_mario-vargas-llosa,Mario Vargas Llosa,reference,Culturales y artísticas,…encio y en que se produce pues esa aparición brillantísima de García Márquez de Vargas Llosa de Carpentier de tantos otros conocidos antes a niveles mucho más restringidos…
ref_carlos-fuentes,Carlos Fuentes,reference,Culturales y artísticas,…es el caso de Cortázar o de Gabriel García Márquez o de Mario Vargas Llosa o de Carlos Fuentes surgían al primer plano de una arrolladora campaña de publicidad digamos el fen…
ref_juan-rulfo,Juan Rulfo,reference,Culturales y artísticas,…del silencio no se me oculta que hay escritores como es el caso por ejemplo de Juan Rulfo una escritora probablemente uno de los más admirables que ha producido América…
ref_juan-carlos-onetti,Juan Carlos Onetti,reference,Culturales y artísticas,…omo ellos pero que quedaban en la sombra es el caso del propio Rulfo el caso de Onetti el caso de Borges que vino después y el propio caso de Augusto Robastos bueno y…
ref_jorge-luis-borges,Jorge Luis Borges,reference,Culturales y artísticas,…quedaban en la sombra es el caso del propio Rulfo el caso de Onetti el caso de Borges que vino después y el propio caso de Augusto Robastos bueno yo no me incluyo po…
ref_jose-gaspar-rodriguez-de-francia-personaje-historico-literario,José Gaspar Rodríguez de Francia (personaje histórico-literario),reference,Culturales y artísticas,
ref_dona-barbara-romulo-gallegos,Doña Bárbara (Rómulo Gallegos),reference,Culturales y artísticas,
ref_don-segundo-sombra-guiraldes,Don Segundo Sombra (Güiraldes),reference,Culturales y artísticas,
ref_la-voragine-jose-eustasio-rivera,La vorágine (José Eustasio Rivera),reference,Culturales y artísticas,
ref_luis-cernuda-poeta,Luis Cernuda (poeta),reference,Culturales y artísticas,…tenga interés aquí en España contar que el primer sudamericano que descubrió a Luis Cernuda el gran poeta español en Edimburgo en Escocia donde él era lector de universida…
ref_poesia-espanola-generacion-exiliada,Poesía española (generación exiliada),reference,Culturales y artísticas,
ref_diario-el-pais-paraguay,Diario El País (Paraguay),reference,Culturales y artísticas,
ref_ateneo-de-asuncion,Ateneo de Asunción,reference,Culturales y artísticas,…se ha perdido es una novela que yo presenté siendo muchacho a un concurso de un Ateneo el único que existía en Asunción en ese tiempo y obtuvo el premio pero no me pu…
ref_festival-de-san-sebastian-cine,Festival de San Sebastián (Cine),reference,Culturales y artísticas,
ref_pelicula-la-sed-adaptacion-de-hijo-de-hombre,Película La sed (adaptación de Hijo de Hombre),reference,Culturales y artísticas,…capítulos de esta novela que se llama Hijo de Hombre creo que aquí la titularon La Sed en la que hacía un papel extraordinario Francisco Raval Doctor Español y que tu…
ref_francisco-rabal-actor,Francisco Rabal (actor),reference,Culturales y artísticas,…ombre creo que aquí la titularon La Sed en la que hacía un papel extraordinario Francisco Raval Doctor Español y que tuvimos la suerte de merecer el premio a la película de ha…
ref_barcelona-recorrido,Barcelona (recorrido),reference,Culturales y artísticas,…fue mi primera visita a España de San Sebastián hice una larga recorrida hasta Barcelona en fin de España me queda realmente mucho pero al mismo tiempo no tanto ya por…
ref_andalucia-region-no-visitada,"Andalucía (región, no visitada)",reference,Culturales y artísticas,
ref_pablo-casals-chelista,Pablo Casals (chelista),reference,Culturales y artísticas,…samente yo otro recuerdo imborrable también para mí fue el encuentro casual con Pablo Casals en un tren que viajaba desde Londres a Glasgow para uno de sus conciertos y tam…
ref_guionista-de-cine-y-television,Guionista de cine y televisión,reference,Culturales y artísticas,
ref_british-council,British Council,reference,Pensamiento y conocimiento,…ctor en jefe de un diario independiente del Paraguay había sido invitado por el British Council para venir a Inglaterra a ver de cerca lo que significaba por ejemplo el bombar…
ref_v-2-rockets,V-2 (Rockets),reference,Pensamiento y conocimiento,
ref_peenemunde-centro-de-pruebas,Peenemünde (centro de pruebas),reference,Pensamiento y conocimiento,…2 las Rockets es decir los primeros ensayos de Von Braun estaban llegando desde PN Munde a Londres o a Manchester o a cualquiera de otras ciudades la impresión la impre…
ref_wernher-von-braun,Wernher von Braun,reference,Pensamiento y conocimiento,…armisticio a Londres cuando las B2 las Rockets es decir los primeros ensayos de Von Braun estaban llegando desde PN Munde a Londres o a Manchester o a cualquiera de otra…
ref_coran,Corán,reference,Pensamiento y conocimiento,
ref_mahoma,Mahoma,reference,Pensamiento y conocimiento,
ref_guerra-de-la-triple-alianza-18651870,Guerra de la Triple Alianza (1865–1870),reference,Contexto socio-histórico,"…es el hecho de que en una terrible guerra de tres países contra el Paraguay, en 1865 a 70, cuando el Paraguay era la primera potencia latinoamericana en cuanto a su econ…"
ref_devastacion-demografica-200000-mujeres-ninos-ancianos,"Devastación demográfica (200.000 mujeres, niños, ancianos)",reference,Contexto socio-histórico,"…no quedaron los dos millones de habitantes que tenía en un comienzo, sino unas 200.000 mujeres, mujeres, niños, ancianos, inválidos, esta especie de caravana lúgubre, macilen…"
ref_reconstruccion-del-paraguay-por-las-mujeres,Reconstrucción del Paraguay por las mujeres,reference,Contexto socio-histórico,"…lo notable es que no hubiera generado un fenómeno de matriarcado, por ejemplo. La mujer reconstruyó el país, dio de comer a sus hijos, atendió sus ranchos incendiados, sus casas devastada…"
ref_guerra-del-chaco-decada-de-1930,Guerra del Chaco (década de 1930),reference,Contexto socio-histórico,
ref_standard-oil-petrolera,Standard Oil (petrolera),reference,Contexto socio-histórico,"….. Estaban los intereses de las multinacionales del petróleo. Del petróleo. Del estandar oil, etcétera, etcétera, en fin, todas estas compañías que han tomado cartas de ciu…"
ref_multinacionales-del-petroleo-intereses,Multinacionales del petróleo (intereses),reference,Contexto socio-histórico,
ref_100000-muertos-guerra,100.000 muertos (guerra),reference,Contexto socio-histórico,"…parte y con cualquier tipo de medios. De manera que en esta guerra que produjo 100.000 muertos para dos países pequeños, ha sido una experiencia también bastante lamentable e…"
ref_poblacion-india-de-bolivia-diezmada,Población india de Bolivia (diezmada),reference,Contexto socio-histórico,
ref_exilio-asilo-en-embajada-1947,"Exilio, asilo en embajada (1947)",reference,Contexto socio-histórico,
ref_presidente-depuesto-y-repuesto-1947,Presidente depuesto y repuesto (1947),reference,Contexto socio-histórico,
ref_dictadurarepresion-en-paraguay,Dictadura/represión en Paraguay,reference,Contexto socio-histórico,
ref_paraguay-pais-magico,Paraguay (país ‘mágico’),reference,Contexto socio-histórico,"…cosas, salvo alguna que otra de mi infancia. era un pueblecito del interior del Paraguay, este país que no solamente es una incógnita en América Latina, sino es un país…"
ref_asuncion,Asunción,reference,Contexto socio-histórico,"…s grandes maestros de la narrativa hispanoamericana de nuestro tiempo, nació en Asunción en el año 1917. ¿En qué mes, maestro? En el mes de los mellizos, en junio. ¿Cóm…"
ref_chaco-region,Chaco (región),reference,Contexto socio-histórico,"…Paraguay volvió a ser noticia mundial en ocasión de otra guerra, la guerra del Chaco. Así es. En la década de los 30, una guerra que según tengo entendido marcó pro…"
ref_altiplano-bolivia,Altiplano (Bolivia),reference,Contexto socio-histórico,"…nte duro para los combatientes, sobre todo para esta pobre gente que bajaba del altiplano a esta zona tórrida del Chaco, una región que por momentos parece tener un pais…"
ref_londres,Londres,reference,Contexto socio-histórico,…enir a Inglaterra a ver de cerca lo que significaba por ejemplo el bombardeo de Londres yo llegué dos meses antes del armisticio a Londres cuando las B2 las Rockets es…
ref_manchester,Manchester,reference,Contexto socio-histórico,…los primeros ensayos de Von Braun estaban llegando desde PN Munde a Londres o a Manchester o a cualquiera de otras ciudades la impresión la impresión que me causó aquello…
ref_glasgow,Glasgow,reference,Contexto socio-histórico,…fue el encuentro casual con Pablo Casals en un tren que viajaba desde Londres a Glasgow para uno de sus conciertos y también una entrevista memorable para mí que apare…
ref_edimburgo,Edimburgo,reference,Contexto socio-histórico,…ue el primer sudamericano que descubrió a Luis Cernuda el gran poeta español en Edimburgo en Escocia donde él era lector de universidad fui precisamente yo otro recuerdo…
ref_paris,París,reference,Contexto socio-histórico,…jes históricos políticos por ejemplo de Gol? bueno sí tuve la suerte también en París de hacer un reportaje a Charles de Gol ellos habían formado el gobierno proviso…
ref_francia,Francia,reference,Contexto socio-histórico,…erdos de la guerra y de la posguerra mundial la segunda guerra mundial luego en Francia ¿entrevista con quién? con Pablo Casals el propio Pablo Casals Pablo Casals Cer…
ref_espana,España,reference,Contexto socio-histórico,…es tuve la suerte de acceder y de hacer reportajes quizás tenga interés aquí en España contar que el primer sudamericano que descubrió a Luis Cernuda el gran poeta es…
ref_san-sebastian,San Sebastián,reference,Contexto socio-histórico,…uando vinimos con una película a intervenir en el festival de cinematografía de San Sebastián con una película basada justamente en uno de los capítulos de esta novela que s…
ref_barcelona,Barcelona,reference,Contexto socio-histórico,…fue mi primera visita a España de San Sebastián hice una larga recorrida hasta Barcelona en fin de España me queda realmente mucho pero al mismo tiempo no tanto ya por…
ref_andalucia,Andalucía,reference,Contexto socio-histórico,…mucho pero al mismo tiempo no tanto ya por conocer como es el caso de la región andaluza por ejemplo que realmente hasta ahora no conozco ¿Más obras suyas han sido llev…
ref_buenos-aires,Buenos Aires,reference,Contexto socio-histórico,…mis textos narrativos hay después una larga etapa argentina una larga etapa en Buenos Aires importante en su vida o como la ve desde ahora muy importante por eso decía hac…
ref_argentina,Argentina,reference,Contexto socio-histórico,…scurre la acción de varios de mis textos narrativos hay después una larga etapa argentina una larga etapa en Buenos Aires importante en su vida o como la ve desde ahora…
ref_toulouse,Toulouse,reference,Contexto socio-histórico,…sarraigo de desarraigo y ahora el profesor Roa Bastos está en la universidad de Toulouse muy cerca de nosotros lo cual siempre es grato su primer encuentro con España ¿…
ref_itape-iturbesanta-clara,Itapé (Iturbe/Santa Clara),reference,Contexto socio-histórico,…a los demás ¿cómo se llamaba el pueblo? el pueblo se llama Iturbe o Santa Clara Itapé es un pueblo que existe realmente Itapé es un pueblo que existe realmente pero…
ref_iturbe-santa-clara-pueblo,Iturbe / Santa Clara (pueblo),reference,Contexto socio-histórico,
ref_rio-creciente,Río (creciente),reference,Contexto socio-histórico,
ref_bombardeo-de-londres-v-2,Bombardeo de Londres (V-2),reference,Contexto socio-histórico,
ref_armisticio-fin-de-la-guerra-bombas-atomicas,Armisticio (fin de la guerra; bombas atómicas),reference,Contexto socio-histórico,…e significaba por ejemplo el bombardeo de Londres yo llegué dos meses antes del armisticio a Londres cuando las B2 las Rockets es decir los primeros ensayos de Von Braun…
ref_festival-de-san-sebastian-premio-habla-espanola,Festival de San Sebastián (premio habla española),reference,Contexto socio-histórico,
ref_feria-del-libro-de-frankfurt-mencionada-en-dialogo-sobre-rulfo,Feria del Libro de Frankfurt (mencionada en diálogo sobre Rulfo),reference,Contexto socio-histórico,
ref_guerra-civilrevuelta-paraguaya-de-1947-seis-meses,Guerra civil/revuelta paraguaya de 1947 (seis meses),reference,Contexto socio-histórico,
