id,label,type,group,note
ref_tango,Tango,reference,Culturales y artísticas,Afición en Buenos Aires
ref_rock-and-roll,Rock and roll,reference,Culturales y artísticas,Aprendizaje de inglés por música popular
ref_futbol,Fútbol,reference,Culturales y artísticas,Tema importante en su literatura
ref_ciclismo,Ciclismo,reference,Culturales y artísticas,Tema y símbolo de movilidad (San Cristóbal)
ref_democracia-cristiana-chile,Democracia Cristiana (Chile),reference,Contexto socio-histórico,Revolución en libertad; reforma agraria
ref_unidad-popular-chile,Unidad Popular (Chile),reference,Contexto socio-histórico,Proceso de Allende; esperanzas del pueblo
ref_golpe-de-estado-en-chile-1973,Golpe de Estado en Chile (1973),reference,Contexto socio-histórico,Derrocamiento de Allende; dictadura
ref_reforma-agraria-chile,Reforma agraria (Chile),reference,Contexto socio-histórico,Impulsada por Frei; continuidades
ref_nacionalizacion-del-cobre-chile,Nacionalización del cobre (Chile),reference,Contexto socio-histórico,Semi-nacionalización en Frei; central en Chile
ref_instituto-nacional-santiago,Instituto Nacional (Santiago),reference,Pensamiento y conocimiento,Bachillerato
ref_universidad-de-chile,Universidad de Chile,reference,Pensamiento y conocimiento,Filosofía y Letras
ref_columbia-university-2,Columbia University,reference,Pensamiento y conocimiento,Máster en literatura
ref_revista-chilena-de-literatura,Revista Chilena de Literatura,reference,Pensamiento y conocimiento,Consejo de redacción; giro anti-pedante
ref_la-quinta-rueda,La Quinta Rueda,reference,Pensamiento y conocimiento,Revista cultural en Quimantú
ref_quimantu,Quimantú,reference,Pensamiento y conocimiento,Publicación cultural estatal
ref_feria-del-libro-de-frankfurt,Feria del Libro de Frankfurt,reference,Culturales y artísticas,Narrativa latinoamericana como foco
ref_festival-de-cannes,Festival de Cannes,reference,Culturales y artísticas,Coberturas y asistencia
ref_festival-de-berlin,Festival de Berlín,reference,Culturales y artísticas,Coberturas y vínculos
ref_festival-de-san-sebastian,Festival de San Sebastián,reference,Culturales y artísticas,Coberturas y vínculos
ref_programa-cultural-en-tv-chilena,Programa cultural en TV chilena,reference,Culturales y artísticas,"Entrevistas con 1,3% de audiencia"
